000000001	2779601
000000002	23536349
000000003	60561774
000000005	75
000000008	241
000000009	252
000000009	217097625
000000010	320
000000011	569
000000012	604
000000013	733
000000014	762
000000015	783
000000016	807
000000017	818
000000018	839
000000019	860
000000020	980
000000021	1014
000000022	1039
000000023	1042
000000024	1132
000000025	1158
000000026	1159
000000027	1164
000000027	214925844
000000028	1176
000000029	1203
000000030	1310
000000031	1340
000000032	1356
000000033	1425
000000034	1456
000000035	1535
000000036	1552
000000037	1582
000000038	1654
000000039	1677
000000040	1728
000000041	1796
000000042	1821
000000043	2228
000000044	2336
000000045	2423
000000046	2539
000000047	2545
000000048	2550
000000049	2583
000000050	2589
000000051	2629
000000052	2682
000000053	2794
000000054	2874
000000055	3202
000000056	3581
000000057	3643
000000058	3714
000000059	3856
000000059	214035240
000000060	3861
000000061	3877
000000062	3895
000000063	3914
000000064	4000
000000065	4099
000000067	4270
000000068	4376
000000069	4444
000000070	4579
000000072	4858
000000073	4872
000000074	4882
000000075	4950
000000076	5005
000000077	5084
000000078	5102
000000079	5109
000000080	5256
000000081	5402
000000082	5466
000000084	5506
000000085	5746
000000086	5755
000000087	5785
000000089	5943
000000090	6008
000000091	6083
000000092	6119
000000093	6200
000000094	6316
000000095	6400
000000096	6654
000000097	6759
000000098	6761
000000098	217232651
000000099	6832
000000100	7076
000000101	7173
000000102	7251
000000103	29062254
000000104	7342
000000105	7530
000000106	7624
000000107	7903
000000108	7972
000000109	8202
000000110	8488
000000111	8749
000000112	8961
000000113	9084
000000114	9234
000000115	9713
000000116	9883
000000117	10155
000000118	10291
000000119	10335
000000120	10346
000000121	10452
000000123	10682
000000124	10683
000000125	10712
000000126	10846
000000127	11028
000000129	11159
000000130	11321
000000131	11522
000000132	11583
000000133	11714
000000134	11830
000000135	11913
000000136	12023
000000137	12051
000000138	12092
000000139	12096
000000141	12129
000000142	12449
000000143	12545
000000144	12594
000000145	12606
000000146	12836
000000147	13033
000000147	214045392
000000148	13060
000000149	13164
000000150	13168
000000151	13255
000000152	13260
000000153	13509
000000154	13631
000000155	13760
000000156	13838
000000157	14002
000000158	14218
000000159	14341
000000160	14506
000000161	14583
000000163	14693
000000164	7381201
000000165	14868
000000166	14925
000000167	14960
000000168	15188
000000169	15332
000000170	15361
000000171	15388
000000172	15535
000000173	15634
000000174	16198
000000175	16220
000000176	16348
000000177	16491
000000178	16548
000000179	16559
000000180	16614
000000181	16714
000000182	16728
000000183	16737
000000184	16742
000000185	16801
000000186	17002
000000187	17351
000000188	17357
000000189	17382
000000190	17436
000000191	17999
000000192	18012
000000193	18071
000000194	18120
000000195	18437
000000196	18561
000000197	18594
000000198	18604
000000199	18608
000000200	18622
000000201	18788
000000204	18950
000000205	19025
000000206	19322
000000207	19341
000000208	19815
000000209	19868
000000210	19892
000000211	20019
000000212	20036
000000213	20053
000000214	20091
000000215	20163
000000216	20637
000000217	21293
000000218	21410
000000219	21462
000000220	21529
000000221	21555
000000222	21558
000000223	21637
000000224	21639
000000225	21757
000000226	21828
000000227	21837
000000228	21856
000000229	21946
000000230	22058
000000231	22080
000000232	22207
000000233	22212
000000235	22486
000000236	22492
000000237	22541
000000237	216472505
000000238	22681
000000239	22682
000000239	214034226
000000240	22703
000000241	22724
000000242	22769
000000243	22818
000000244	22839
000000245	22960
000000247	23048
000000248	23055
000000249	23065
000000250	23127
000000251	23191
000000252	23257
000000253	23275
000000254	23368
000000255	23429
000000256	23430
000000258	23465
000000259	23568
000000260	23612
000000261	23734
000000262	23864
000000263	23874
000000264	24086
000000265	24169
000000266	24284
000000267	24331
000000268	24362
000000269	24394
000000270	24448
000000271	24461
000000272	24485
000000273	24658
000000274	25186
000000275	25378
000000276	25453
000000277	25530
000000278	25768
000000279	25902
000000280	217211158
000000280	25909
000000281	26516
000000282	26730
000000283	27105
000000284	27221
000000285	27277
000000286	27320
000000287	27368
000000288	27390
000000289	27412
000000290	27426
000000291	27763
000000292	27834
000000293	28015
000000293	214394419
000000294	28075
000000295	28185
000000296	28208
000000297	28263
000000298	28321
000000299	28428
